No.,Question,Correct Answer
35,"Ensuring proper HTTPS implementation for an ecommerce website or mobile app falls under cybersecurity and computer security, so it’s ___________________.",information security
36,"Feeling confident about their organization's security level: When information security community members participated in the Cybersecurity Trends Report, they were asked how positive they felt about their security stance.",True
37,Fifth Reason why investing in information security is significant,Regulatory compliance's
38,First Reason why investing in information security is significant,Rising cost of breaches
39,"For a ________ , the chief concern may be ensuring the confidentiality of classified information, whereas a funds transfer system may require strong integrity controls",national defense system
40,for assets are one that has known threats,hostile environment
41,Fourth Reason why investing in information security is significant,Funded hackers and wide availability of hacking tool
42,If you feel vulnerable do not ask Police or Security to escort you to your car,False
43,"If you have an intuitive feeling something is wrong, trust your instincts.",True
44,"If your data is stored physically or digitally, you need to be sure you have all the right ____________________ in place to prevent unauthorized individuals from gaining access.",physical access controls
45,"In any particular circumstance, some threats are more probable than others, and a______ must assess the threats, assign a level of concern to each, and state a policy in terms of which threats are to be resisted.",prudent policy setter
46,"In some scenarios, an __________________ would help a cybersecurity professional prioritize data protection — and then the cybersecurity professional would determine the best course of action for the data protection.",information security professional
47,Info security is concerned with making sure data in any form is kept secure and is a bit broader than,cybersecurity
48,Information and data manipulation abilities in cyberspace.,information infrastructure
49,Information is one of the most significant ______ resources.,non-substantial
50,"involves the implementation of standard operational security procedures that define the nature and frequency of the interaction between users, systems, and system resources, the purpose.",Operational security
51,"is a collection of computing environments connected by one or more internal networks under the control of a single authority and security policy, including personnel and physical security.",enclave
52,"is a nonhostile environment that may be protected from external hostile elements by physical, personnel, and procedural countermeasures.",Benign environment
53,is a requirement whose purpose is to keep sensitive information from being disclosed to unauthorized recipients.,Confidentiality
54,"is all about protecting data that is found in electronic form (such as computers, servers, networks, mobile devices, etc.) from being compromised or attacked.",Cybersecurity
55,is another way of saying “data security.”,Information security
56,"is the study of how to protect your information assets from destruction, degradation, manipulation and exploitation. But also, how to recover should any of those happen.",Information Assurance
57,"IT is the ___________________for practical purposes, largely for industry (mainframes, supercomputers, datacentres, servers, PCs and mobile devices as endpoints for worker interaction) and consumers (PCs, mobile devices, IoT devices, and video game console endpoints for enduser lifestyles.)",application of computer science
58,"IT security can probably be used interchangeably with cybersecurity, computer security and information security if ___________________.",it pertains to business
59,Keeping information___________________ electronic computers (such as ancient cryptography) to this very day falls under the banner of information security.,secure for the history of data predating
60,Knowledge and understanding in human decision space.,perceptual
61,Layer describes the notion that data ought to be secured while in motion.,data in motion
62,"Layer describes the notion that the physical access to any system, server, computer, data center, or another physical object storing confidential information has to be constrained to business ought-to-know.",Physical Access
63,may prevent people from doing unauthorized things but cannot prevent them from doing things that their job functions entitle them to do.,Technical measure
64,Method of reducing criminal opportunity.,"Be alert and aware, Display confidence, Keep your hands free, Trust your instincts, Ask for help, Closely Guard your personal Effects"
65,"One can implement that policy by taking specific actions guided by management control principles and utilizing specific security standards, procedures, and",mechanisms
66,"Over the last decade, we’ve seen a _________________ between cybersecurity and information security, as these previously siloed positions have come together.",fusion
67,protection against unauthorized modification or destruction of information,Integrity
68,Raw facts with a known coding system,Data
69,Raw facts with an unknown coding system,Noise
70,"refers to the protection of hardware, software, and data against physical threats to reduce or prevent disruptions to operations and services and loss of assets.”.",Physical security
71,Second Reason why investing in information security is significant,Increasingly sophisticated attacker
72,"security measures to establish the validity of a transmission, message, or originator.",Authentication
73,"sing this high-level, objectively-derived data can simplify the ______________________ around risk.",conversation
74,"Some ____are explicitly concerned with protecting information and information systems, but the concept of management controls includes much more than a computer's specific role in enforcing security.",management controls
75,The framework within which an organization strives to meet its needs for information security is codified as _____,Security policy
76,"the inherent technical features and functions that collectively contribute to an IT infrastructure achieving and sustaining confidentiality, integrity, availability, accountability, authenticity, and reliability.”",IT security
77,The need for skilled workers and allocation of funds for security within their budget: Companies are making the effort to allocate more funds in their budgets for security.,True
78,The process to protect that data requires more advanced,IT security tool
79,The requirements for applications that are connected to ________ will differ from those for applications without such interconnection.,external systems
80,"The weight given to each of the three major requirements describing needs for information security—confidentiality, integrity, and availability—depends strongly on",circumstances
81,"The_____must be managed by auditing, backup, and recovery procedures supported by general alertness and creative responses.",residual risk
82,Theft of personal items such as pursues can result in more criminal opportunities such as:,"Identity Theft, Stolen Auto, Residential Burglary"
83,Third Reason why investing in information security is significant,Proliferation of IoT devices
84,"timely, reliable access to data and information services for authorized users.",Availability
85,"To be useful, a ______ must not only state the security need (e.g., for confidentiality—that data shall be disclosed only to authorized individuals), but also address the range of circumstances under which that need must be met and the associated operating standards.",Security policy
86,Types of private security.,"Technology, Private Alarm Response, Private Patrol Services, Private Security Guards"
87,"Walk without purpose, scan the area around you and make casual eye contact with others to display confidence.",False
88,"What jobs in information security is this?  Salary: $103,560 Responsibilities: Software developers can be tasked with a wide range of responsibilities that may include designing parts of computer programs and applications and designing how those pieces work together.",Software developer
89,"What jobs in information security is this?  Salary: $104,000 Responsibilities: Create an in-office network for a small business or a cloud infrastructure for a business with corporate locations in cities on opposite coasts",Computer Network Architects
90,"What jobs in information security is this?  Salary: $139,000 Responsibilities: Information systems managers work toward ensuring a company's tech is capable of meeting their IT goals.",Computer and Information Systems Managers
91,"What jobs in information security is this?  Salary: $95,510 Responsibilities: Information security analysts monitor their companies' computer networks to combat hackers and compile reports of security breaches.",Information Security Analyst
92,"While you are walking, keep your mind on what is going on around you.",True
93,"With __________ attacks, for example, even legitimate and honest users of an owner mechanism can be tricked into disclosing secret data.",Trojan horse
