No.,Question,Correct Answer,Choice A,Choice B,Choice C,Choice D
207,It enables an individual to capture life's best moments with their phone's camera...,instagram,,,,
208,Encryption and Authentication,Information security,,,,
209,"In many cases, the core competencies are the same for many of the jobs on your resume.",True,False,,,
210,"The Philippine government has not created any institutions, but these have been criticized...",True,False,,,
211,Type of values that reflect on how you relate to other people in your life...,Relationship values,Societal values,Individual values,Organisational values,
212,"Many of the principles expressed by these codes, such as honesty and accuracy, apply to ethical professionals broadly.",True,False,,,
213,It applies the Code of Ethics to a host of relevant situations,Code of Conduct,Code of Ethics,Behavior,Attitude,
214,"In defined benefit plans (sometimes called pension plans), the benefit amount is pre-determined...",True,False,,,
215,List the options that are most acceptable to the individual or group that is most responsible for implementing the action plan,True,False,,,
216,You cannot compel employees to purchase your goods or services or to patronize any store...,Compulsary Patrionage,No Wage Deduction,Insurance,Gender Discrimination,
217,"It goes beyond doing precisely as your expected, and it's more than having a smile on your face...",Customer Service,Asking,Story Telling,Complaining,
218,"The 13th month pay covers only the basic salary of the employee, which does include allowances...",True,False,,,
219,The most common type of employment now is______.,Contractual,Seasonal,Regular,Casual,
220,"To give separation pay such as when termination is due to redundancy, but not when the employer is suffering from severe financial losses",True,False,,,
221,Ethical principles are rules or obligations that guide action.,True,False,,,
222,Policy is made on behalf of the ______________.,Public,Government,Women,Businessmen,
223,Wages should be paid at least once every 2 weeks or twice a month at intervals not exceeding 16 days,Time,Place,Work,Payment,
224,It is an international issue where there are 795 million people who do not have enough to eat.,Malnourishment and Hunger,Unemployment,Poverty,Scarcity,
225,All employees in all establishments and undertakings whether for profit or not are entitled to overtime pay for work rendered beyond eight (8) hours,True,False,,,
226,"It is earned by employees while they work. The three common types of paid time off are holidays, sick leave, and vacation leave.",Paid Time Off,Disability Insurance,Accident Insurance,Educational Plan,
227,"Identifying and acknowledging your own values, assumptions, commitments and biases is a critical process.",Analyze your biases,Identify the uncertainty,Clarify the questions,List the major stakeholders,
228,A professional was someone who derived their income from their expertise or specific talents...,True,False,,,
229,What is a potential cause or situation in which conflicts or misunderstandings can happen?,"Misunderstandings or conflict between different nationalities, religious or ethnic groups cultural ignorance and insensitivity",Differences in societal practice,Awareness of different societal lifestyle practices,Communication and Interpretation,
230,Which is not included in employee benefits?,Groceries,Group Insurances,Retirement Benefits,Sick Leave,
231,"The global temperatures are rising, and are estimated to decrease from 2.6 degrees Celsius to 4.8 degrees Celsius by 2100.",False,True,,,
232,An employer commits sexual harassment when a sexual favor is made as a condition for hiring...,Anti-sexual Harassment law,Prohibition against stipulation of marriage,Probationary Employment,Minimum employable age,
233,Adaptations,Derivative works,,,,
234,One of the advantages of anonymity is that disputes could be solved if information from individuals' party...,False,,,,
235,The moral concept of whistle-blowing is good when the activities involved pose serious danger and harm to human life,True,,,,
236,It is a major cause of poverty considering how it affects the poor the most...,Corruption,Global Warming,Terrorism,Scarcity,
237,An example of a conflict of interest would be a board member voting on the induction of lower premiums...,True,False,,,
238,AIs have the capacity to perform better than the world best experts at many tasks already...,Performance,,,,
239,It is the belief that all moral rules are relative to the society that creates them.,Moral Relativism,Ethical Relativism,Teology,Deontology,
240,There are however no exceptions to these provisions when payment for union dues...,False,True,,,
241,Human Nature can result to a bias environment that AIs might learn from,True,,,,
242,"It might take the form of law, or regulation, or the set of all the laws and regulations that govern a particular issue or problem.",Policy,Bills,Rules,Directions,
243,"It is an invasion of privacy by wrongful entry, seizing, or acquiring possession of the property of others",intrusion,,,,
244,The data that the AI technology is using to train and learn mostly covers all the aspect of human behavior,False,,,,
245,The human errors in coding can be sometimes referred to as,bugs,,,,
246,"In contemporary moral philosophy, it is one of those kinds of normative theories...",Kantian Ethics,Utilitarianism,Relativism,Teological,
247,"It is unreasonable, because it claims that there is no absolute truth yet people still act as if there is.",Moral Relativism,Teological,Ethical Relativism,Deontology,
248,"Both the sender and the receiver each have a pair of keys, one public and one private",asymmetric encryption,,,,
249,Which is not a type of employment?,Student,Casual,Part time,Regular,
250,Creative works,Copyright,,,,
251,It is a form of monetary benefit given to every rank-and-file employee payable before the end of every year...,13th Month Pay,Bonus,Christmas Gift,Sick Leave,
252,The alteration of information may be caused by the disclosure of personal information,False,,,,
253,Which of the following is a purpose of a social networking web site?,All of the Above,,,,
254,With the relationship between the provider and receiver of the service/product present...,True,,,,
255,"A set of legal rights which result from intellectual activity in the industrial, scientific, literary, and artistic fields is called",intellectual property,,,,
256,Teological is a form of ____________________.,Consequentialism,Rule-Based,Ethnical,Relativism,
257,Think about the possible outcomes of the situation...,True,False,,,
258,"Only one class of people or those who are rich, partake in substance abuse...",False,True,,,
259,"Among women who experienced medical complications during pregnancy or delivery, only one in three received the care they needed.",True,False,,,
260,One benefit of duplication is the minimal chance that the primary copy and all distributed copies will be destroyed.,True,False,,,
261,Normally information should be limited to those who need to know in order to conduct their duties...,True,False,,,
262,It is a gender related issue where at least 200 million women and girls alive today have undergone female genital mutilation.,Female Genital Mutilation,Rape,Sexual Assault,Gender Inequality,
263,It is when ethical reasoning remained the same even with the evolution of ethical discipline.,Emotivism,,,,
264,If a Vital Record is in a format only readable by specific equipment...,True,False,,,
265,One relativist slogan is no moral principles are true for all people at all times and in all places.,True,False,,,
266,This is the first and most important step in solving your problem.,Clarify the questions,Identify the uncertainty,List the major stakeholders,Analyze your biases,
267,Professional Codes of Conduct addresses the following except:,Confidentiality and Commitment,,,,
268,It is a principle that can be found at the core of contemporary ethics codes,Self-regulating communities of professionals,Dependent review of research proposals,Selection to society,Balancing of risk to everyone with benefit to one,
269,An AI can achieve its goal without going through consequences,True,,,,
270,Critics of the labor rights movement claim that regulation promoted by labor rights activists may limit opportunities for work.,True,False,,,
271,Is conflict of interest considered professional misconduct?,True,Maybe,No Answer,False,
272,A provider of service should first inquire the customer before an action of service should be done. This statement shows _______.,Autonomy,,,,
273,"As humans tend to follow a life script, an individual's reaction to certain rules of conduct is always intentional.",False,,,,
274,Under time work on any particular day shall not be offset by overtime work on any other day,True,False,,,
275,It is an economic activities offered by one part to another...,Services,Jobs,Serve,Freelance,
276,"Staff, clients/patients/residents and families will never bring their own personal values to a discussion.",False,True,,,
277,Conventional ethical relativism supports the view that the truth of moral principles is relative to beliefs.,True,False,,,
278,"He is one who willingly 'adopts' and consistently applies the knowledge, skills, and values of a chosen profession",Professional,Worker,Employee,Boss,
279,Which among the following has the shortest imprisonment charge,arresto mayor,,,,
280,Which among the following has the longest imprisonment charge,reclusion perpetua,,,,
281,It is the acquisition of a domain name on the Internet in bad faith...,Cybersquatting,,,,
282,"Even with long years of experience, skills based on shallow knowledge of the field could be damaging to the profession",True,,,,
283,"It is a right to distribute, display, perform, or reproduce an original work in copies...",copyright,,,,
284,It describes the ways that people come to understand societal norms and expectations...,True,False,,,
285,Teological's goodness or badness is determined by the results or outcomes,True,False,,,
286,"It refers to the freedom from intrusion into one's personal matters, and personal information.",Privacy,Secretive,Restricted,Confidentiality,
287,"If you're a labor-management specialist, a few of your core competencies would include communication, negotiation and conflict-resolution skills.",True,False,,,
288,"Employees have a responsibility to create and maintain full, accurate and honest records of their work activities...",True,False,,,
289,The key to good customer service is building good relationships with your customers.,True,False,,,
290,One is not known by any name including pseudo names,anonymity,,,,
291,Reckless alteration,Data Interference,,,,
292,It is when an action is right if the consequences of that action are favorable to all except the actor,Altruism,,,,
293,"They cover 38 million Filipinos who belong to the labor force and to some extent, as well as overseas workers.",True,False,,,
294,Reclusion and isolation,Psychological Effects,,,,
295,A man who did something to help others but it is against his will is not considered good. This is an example of _________.,Deontology,,,,
296,This help your company maintain a degree of accountability in the eyes of internal and external stakeholders.,Internal Controls,Build a Learning Culture,Minimize Cost,A Maintain Compliance,
297,Medical insurance alone can cost several hundred dollars a month...,True,False,,,
298,A common domestic-partner benefit is access to family dental insurance...,True,False,,,
299,"Gross misconduct is an employee's behaviour, which is serious enough to potentially destroys the relationship...",True,False,,,
300,Maintaining the status quo by preventing the unauthorized modification of files is an example of,integrity,,,,
301,"Wages should be paid directly to the employee in cash, legal tender, or through a bank.",Payment of Wages,Security of Tenure,Equal Work Opportunities for All,Work Days and Work Hours,
302,"It refers to personal information shared with an attorney, physician, therapist...",Confidentiality,Restricted,Privacy,Secretive,
303,It occurs when a corporation or person becomes unreliable because of a clash between personal and professional affairs.,Conflict of Interest,Loss of Interest,Unprofessionalism,Resignation,
304,One of the contributing factors in the cause of violations is when consumers lack the ethics of how what they consider a little bit of information...,False,,,,
305,"Services have 3 major properties; Intangibility, Inseparability, and Perishability",True,False,,,
306,It behaves like the Constitution with general principles to guide behaviour...,Code of Ethics,Code of Conduct,Attitude,Behavior,
307,A patent claim can be cancelled if it adheres to the public order,False,,,,
308,It means ensuring that information is accessible only to those authorized to have access.,Confidentiality,Professionalism,Integrity,Diligence,
309,"If intimidation and fear of reprisals is present, __________ is good because useful information may be revealed",anonymity,,,,
310,"By providing increased access and flexibility in employee benefits, employers can only recruit but not retain qualified employees",False,True,,,
311,"There are different strands of information to be protected, which does not belong to a group:",Employment Information,,,,
312,Everyone has the right to expect that they will be spoken to in a reasonable manner by colleagues and managers.,True,False,,,
313,"Identify all the rules, guidelines, codes, and obligations that might need to be considered.",True,False,,,
314,Another important aspect to reflect upon are the various individuals and groups who may be affected by your decision.,Consider the parties involved,Formulate actions and consider alternatives,Gather all the relevant information,Recognizing an ethical issue,
315,"Ethics is not religion. Many people are not religious, but ethics applies to everyone.",True,False,,,
316,It is the data left behind by users of electronic media,digital footprint,,,,
317,Professional persons in different fields have legal and ethical responsibilities to safeguard the confidentiality of information...,True,False,,,
318,It is developed over a period of time based on either the religion or culture of the indigenous people in the area.,Community Code,,,,
319,Do not listen to customer complaints.,False,True,,,
