No.,Question,Correct Answer
97,"If the power is constant, is simply the Formula of it is ?",E = Pt
98,"In circuits, Charge goes around in loops.",True
99,"Infrared is a kind of Light,",True
100,Insulator is used to store energy and electric charge.,False
101,Insulators is used to store energy and electric charge.,False
102,Is a device connected in parallel with a device to measure it's current.,Ammeter
103,Is a device connected in parallel with a device to measure it's voltage.,Voltmeter
104,Is a device used for measuring the potential difference between 2 different points in space.,Voltmeter
105,It is a measure of resistance of a given size of specific material to electrical conduction.,Resistivity
106,It is also called a higher potential terminal.,Positive
107,it is an electronic circuit device for temporary storage of electrical energy.,Capacitors
108,It is the material that permits an electric current to flow,Conductors
109,It is the opposition to current flow in an electric circuit.,Resistance
110,It is the rate of flow of charges.,Current
111,KCL : CURRENT ; KVL : VOLTAGE.,True
112,KCL is also called 2nd Law of motion ?,FALSE
113,KCL is for Voltage while KVL is for current.,False
114,KCL stands for kirchhoff's current law.,True
115,KCl stands for?,Kirchhoff's Current Law
116,"KCL states that,in a closed circuit the entering current at node is equal to the current leaving at the node.",True
117,Kirchhoff's Current Law is also Known as 2nd Law of motion.,False
118,KVL stands for ?,Kirchhoff's Voltage Law
119,KVL stands for kirchhoff's voltage lane.,False
120,KVL states that the algebraic sum of the voltage at node in a closed circuit s equal to zero.,True
121,KVL states that the total ____________ around a closed loop must be Zero.,Voltage
122,Light cannot be travel if there is no medium.,True
123,Light is faster than Sound.,True
124,Magnetic Field is an invisible entity which exists in the region around a charged particle.,False
125,Microwaves is an example of Light.,True
126,n is the Index of refraction of a transparent medum.,True
127,Ohm's Law is a law stating that electric current is proportional to voltage and inversely proportional to resistance.,True
128,OHM's Law stating that electric current is proportional to voltage and inversely proportional to ___________.,Resistance
129,Paperis one of the example of conductors.,False
130,Positive : Negative ; Conductors : Rubber,False
131,Positive and negative charge is very important in a circuit.,True
132,Positive charge can be found also in a Proton.,True
133,Power is a rate at which work is done and it is the rate at which energy transferred.,TRUE
134,Power is equal to current multiply by_________________ ?,Voltage
135,Power is measured through the used of a device called Circuit breaker.,False
136,R represents rate of change.,False
137,Radio is an example of a light.,False
138,Radio waves is a kind of light.,True
139,Radiowaves is not an example of light.,False
140,Radiowaves is one of the example of Electromagnetic waves.,True
141,Resistance is measured in Ohm's.,True
142,Resistance is the unit of Resistors.,False
143,Resistivity is a measure of the resistance of a given size of a specific material to electrical conduction.,True
144,Resistors : _________ ; Capacitors : Capacitance.,Resistance
145,Resistors are measured in ?,Resistance
146,Source Charge a charged particle that is causing the electric field to exist.,True
147,States that in a closed circuit that the entering current at node is equal to the current leaving at the node is?,KCL
148,States that the algebraic sum of the voltage at node in a closed circuit is equal to zero.,Ohm's
149,Steel is one of the example of a good _________ ?,Conductors
150,Symbol 'A' stands for Length of ammeter ?,FALSE
151,Symbol 'C' stands for Circuits ?,False
152,Symbol 'V' stands for current circuit.,False
153,Symbol 'V' stands for EMF also ?,True
154,Symbol C stands for Circuit.,False
155,Symbol V can be used also as a substitute of EMF symbol.,True
156,"The ""n"" symbol is for the index of refraction of a transparent medium.",True
157,"The ""P"" symbol stands for ?",Power
158,The 2 kinds of charge are ?,"Positive, Negative"
159,The ammeter and a voltmeter is very useful in a circuit.,True
160,The Ammeter is a device used to measure ?,Current
161,The best way to Survive the Calculus based- Physics 2 subject is /are ?,all of the above
162,The charge flow rate is called ?,Electric current
163,The charge flow rate is called Electric current.,True
164,The charge particle causing the electric field to exist is called?,Source charg
165,The charged particle causing the electric field to exist is called the Electric force,False
166,The circuit can be function without wires.,False
167,The circuit cannot function if there is no ________________ ?,Power source
168,The current can passed through the used of resistors.,True
169,The example of a good Conductor is Aluminum.,True
170,The following are examples of Conductors EXCEPT ONE.,Rubber
171,"The following are examples of Conductors, EXCEPT ONE.",Papers
172,The following are examples of light EXCEPT ONE.,Radio
173,"The following are kinds of Charge, EXCEPT ONE.",Electrons
174,The following are medium of light EXCEPT ONE.,Seeds
175,The following are not Example of Conductors EXCEPT ONE.,Metal
176,"The formula of OHM's LAW is composed of Voltage, Current and Resistance.",True
177,The frequency of Infrared is ?,750GHz-430 GHz
178,The frequency of Microwaves is ?,300-750000 MHz
179,The frequency of Ultraviolet is around 750-6000 THz.,True
180,The Frequency of ultraviolet rays is ?,750-6000 THz
181,The index of refraction of air is 100.,False
182,The index of refraction of light in a glass is ?,1.5
183,The index of refraction of light in air is ?,1.00
184,The index of refraction of light in VACUUM is ?,1
185,The index of refraction of light in water is ?,1.33
186,The index of refraction of vacuum is ?,1
187,The index of refraction of vacuum is 2.,False
188,The index of refraction of water is ?,1.33
189,The index of refraction of water is 1.33.,True
190,The index of refraction of Water is 1.5 ?,False
191,The most common used for capacitors is ?,Energy storage
192,The most common used for capacitors is energy storage.,True
193,"The negative sign can be found also in an electron,",True
194,The phenomenon of charging by rubbing is called ?,Triboelectrification
195,"The positive ad negative signs on the resistors can be neglected and it doesn't affect the result,",False
196,The positive and Negative charges can be _____________?,Attract
197,The positive and Negative charges cannot attract each other,False
198,The positive charge has the sign ( - ).,False
199,The power source is also called EMf.,True
200,The purpose of capacitor in a circuit is to charges and energy.,True
201,"The resistance R, in the expression V = IR is a ____________.",Constant
202,The some example of a good Conductor is a Copper.,True
203,The speed of light in a vacuum is ?,3.00 x 10 ^ 8 m/s
204,"The symbol ""c"" stands for ?",speed of Light in vacuum
205,"the symbol ""C"" stands for Charges",False
206,"The symbol ""f"" stands for Frequency.",True
207,"The symbol ""k"" in Coulomb's Law is called ?",Coulomb constant
208,"The symbol ""k"" stands for Kirchoff's.",False
209,"The symbol ""q1"" stands for charge of particle 1.",True
210,"The symbol ""r"" stands for Distance between the two particles.",True
211,"The symbol ""v"" stands for ?",speed of light in a transparent medium
212,"The symbol ""V"" stands for Voltage.",True
213,The symbol are usually use for Capacitors.,False
214,"The symbol for a Source is ""S"".",False
215,The symbol R stands For ?,Resistance
216,The unit for resistance is OHM.,True
217,The unit JOULEs is also called OHM.,False
218,The unit of Ampere is current.,False
219,The unit of Capacitor is called ?,Capacitance
220,The unit of Capacitor is Capacitance.,True
221,The unit of current is always volts.,False
222,The unit of current is OHM.,False
223,The Unit of current is What ?,Ampere
224,The unit of POWER is __________?,all of the above
225,The unit of Power is ?,Watt
226,The unit of POWER is WATT.,True
227,The unit of Power is WATT(W).,True
228,The unit of Power is WATTs.,True
229,The unit of resistance is Ohm's.,True
230,The unit of RESISTANCE IS RESISTOR.,False
231,The unit of Resistance is what ?,Ohm
232,The unit of Voltage is ?,Volts
233,The unit of Voltmeter is Ammeter.,False
234,The unit of Volts is called Voltmeter.,False
235,The unit of Volts is Voltage.,False
236,The wavelength of Radiowaves is ?,>1m
237,The wavelength of Ultraviolet is ?,5-400m
238,The wavelength of X rays are ?,.006-5 nm
239,The wavelength of X-rays is around 400-700mm.,False
240,The wires of ammeter is both Positive respectively.,False
241,To get the total Capacitance of a circuit we used a device called capacitor.,False
242,V is the speed of light in the transparent medium.,True
243,V stands for voltage.,True
244,Vector fieldis a function of space whose value at each point is a vector quantity.,True
245,Voltage is measured through the used of _______________?,Voltmeter
246,Voltmeter : Voltage ; Ammeter : ____________ ?,Current
247,Voltmeter device used to measure Voltage,True
248,Voltmeter is a device used for measuring the potential difference between 2 different points in space.,True
249,Voltmeter is a device used to measure ?,Voltage
250,Voltmeter is connected in parallel with a device to measure it's voltage.,True
251,Voltmeter is measured through the used of Volts.,False
252,Volts is the unit for current.,False
253,Volts is the unit of power.,False
254,"We used the symbol ""EF"" to represent electric field.",False
255,"We used the symbol ""q"" for the charge victim.",True
256,Wire ends in a metal-tipped wand called circuits.,False
257,Wires are good conductors of Electric charges.,True
258,X-rays are not kind of light instead it is a kind of Device.,False
