No.,Question,Correct Answer
72,Determining customer behavior and preferences,Prediction
73,Digital Signature,Authentication
74,Disability insurance replaces all or part of the income that is lost when a worker is unable to perform their job because of illness or injury,True
75,Do not listen to customer complaints.,False
76,"Dramatizations, translations, and adaptations of musicals are example of",derivative works
77,"Due to the decreasing number of regulations and need for operational transparency, organizations are increasingly adopting the use of consolidated and harmonized sets of compliance controls.",False
78,E-mail Fraud,Phishing
79,"Employees are accountable for any documents that they sign. Therefore, employees should carefully read all documents they are asked to sign.",True
80,"Employees have a responsibility to create and maintain full, accurate and honest records of their work activities, decisions and other business transactions.",True
81,Employees must have illegal drugs in their possession while at work. Any illegal drugs found on Departmental property or in the possession of any person on Departmental property will be reported to the Police,False
82,"Employees should get a comprehensive ______________ package that includes eligible dependents and provided through accredited hospitals by Medicard. Also included are dental benefits, outpatient medicine reimbursement, and maternity grant.",Healthcare
83,"Employees who are working with children are also required to report if an Apprehended Violence Order has been issued against them where a child is recorded as requiring protection from them, or if a report to Family & Community Services has been made about their conduct which meets the definition of reportable conduct.",True
84,"Employees working with children are also required to report if an Apprehended Violence Order has been issued against them where a child is recorded as requiring protection from them, or if a report to Family & Community Services has been made about their conduct which meets the definition of reportable conduct.",True
85,Encryption and Authentication,Information security
86,Ethical behavior should become a habit and effective codes allow both bureaucrats and elected officials to test their actions against expected standards.,Codes of ethics increase the probability that people will behave in certain ways
87,Ethical behavior should become a habit and effective codes allow both bureaucrats and elected officials to test their actions against expected standards.,Codes of ethics increase the probability that people will behave in certain ways
88,Ethical decision making is the process of making a decision which may result in one or more moral conflicts while ethical reasoning is when ethical principles is integrated in the reasoning process,True
89,"Ethical decisions cannot generate and sustain trust; demonstrate respect, responsibility, fairness and caring; and are consistent with good citizenship. These behaviors provide a foundation for making better decisions by setting the ground rules for our behavior.",False
90,"Ethical principles are rules or obligations that guide action. Often, an ethical situation involves conflicts between and among principles.",True
91,Ethics codes are as old as antiquity.,True
92,Ethics is defined as a field of inquiry whose subject is human actions and these human actions are called,human conduct
93,"Ethics is not religion. Many people are not religious, but ethics applies to everyone. Most religions do advocate high ethical standards but sometimes do not address all the types of problems we face.",True
94,Ethics is not the same as feelings. Feelings provide important information for our ethical choices.,True
95,"Even with long years of experience, skills based on shallow knowledge of the field could be damaging to the profession",True
96,"Every employee shall be assured security of tenure. No employee can be dismissed from work except for a just or authorized cause, and only after due process.",Security of Tenure
97,Everyone has the right to expect that they will be spoken to in a reasonable manner by colleagues and managers.,True
98,"Excellent customer service goes beyond doing precisely as your expected, and it's more than having a smile on your face when the customer is looking",True
99,"Fairness is the provision of services in a reasonably prompt and thorough manner, including the proper planning for, and supervision of, the rendering of professional services.",False
100,For formal education to be effective in teaching and enforcing the pillars of professionalism it must be _________,Incremental
101,Frauds are sometimes a form of collaboration between an employee and a non-employee,True
102,"Fringe benefits are a variety of cash payments are used to attract and retain talented employees They may include tuition assistance, flexible medical or child-care spending accounts (pre-tax accounts to pay qualified expenses), other child-care benefits, and non-production bonuses (bonuses not tied to performance)",False
103,"Gambling in the workplace, other than harmless team building activities such as workplace Lotto syndicates, football or other sport tipping competitions are welcomed.",False
104,"Gross misconduct is an employee's behaviour, which is serious enough to potentially destroys the relationship between an employer and employee.",True
105,"GSIS is an insurance program mandated by the Philippine government to cover all income earners or workers in the private sector, in contrast, government workers are covered by the SSS.",False
106,Harassment is a form of discrimination and it mainly involves making decisions that negatively affect an individual,False
107,"He is one of the leading proponents of what is now called ""classic utilitarianism""",Jeremy Bentham
108,"He is one who willingly ""adopts"" and consistently applies the knowledge, skills, and values of a chosen profession",Professional
109,"He wrote ""If men were angels, no government would be necessary. If angels were togovern men neither external nor internal controls on government would be necessary.""",James Madison
110,How many principles of public life are discussed?,Seven
111,Human Nature can result to a bias environment that AIs might learn from,True
112,"Humans are not perfect; they are emotional, biased, easily manipulated and easily bored beings Machines, however, don‘t have any of these problems",Safety
113,Ideas are one type of opinion that is critical to voice with peers or leaders because they shape the future of the organization.,Submitting Ideas
114,"Identify all the rules, guidelines, codes, and obligations that might need to be considered. These can be formal and binding, like laws, policies or professional standards, or informal, like social norms and cultural practices.",True
115,"Identifying and acknowledging your own values, assumptions, commitments and biases is a critical process. Your gut feelings and personal motivations can have a profound effect on your decisions. Consider these objectively to make sure your decision-making process is based on the most important considerations, and results in the best decision, all things considered.",Analyze your biases
116,"If a breach of confidentiality occurs regarding medical or legal information, the breaching individual may be subject to penalties by his employer, or by the board that issued his _____________",Professional License
117,"If a Vital Record is in a format only readable by specific equipment (i.e., microfilm reader, computers), procedures for accessing/obtaining the equipment must be arranged.",True
118,"If intimidation and fear of reprisals is present, __________ is good because useful information may be revealed",anonymity
119,"If the codes of conduct focuses on rules and guidelines, autonomy focuses on",power balance
120,"If you're a labor-management specialist, a few of your core competencies would include communication, negotiation and conflict-resolution skills.",True
121,Immanuel Kant is a __________________ philosopher,German
122,Immanuel Kant is a __________________ philosopher.,German
123,"In contemporary moral philosophy, it is one of those kinds of normative theories regarding which choices are morally required, forbidden, or permitted.",Kantian Ethics
124,"In defined benefit plans (sometimes called pension plans), the benefit amount is pre-determined based on salary and the years of service In these plans, the employer bears the risk of the investment",True
125,"In Kantian,  whether an action is right or wrong depends on the moral norms of the society in which it is practiced",False
126,"In many cases, the core competencies are the same for many of the jobs on your resume.",True
127,"In order for professions and trades to uphold essential requirements, integrity, commitment, and professional codes of conduct must be met.",False
128,"In Spear-phishing, con artists send legitimate looking e-mails urging the recipient to take action to avoid a negative consequence or to receive a reward",False
129,"In the language of utilitarians, we should choose the option that ""maximizes utility,"" i.e. that action or policy that produces the largest amount of good.",True
130,Inappropriate worker behaviour can also be incorporated in a code of conduct.,False
131,Individuals found guilty of child pornography violated _____________,Anti-Child Pornography Act of 2009
132,Individuals whose data are mined can become identified with or linked to certain newly created groups.,True
133,Individuals whose data are mined cannot be identified with or linked to certain newly created groups.,False
134,Instilling fear and doubt and compromising the integrity of the data can lead to,extortion
135,Is conflict of interest considered professional misconduct?,True
136,"Is the statement ""Effective ethics codes are not merely a text"" true?",True
137,"Is the statement ""Effective ethics codes are not merely a text"" true?",True
138,It aims to establish the highest principles and standards.,Codes of Ethics
139,It also means the quality of possessing high moral principles or professional standards and steadfastly adhering to them.,Integrity
140,It applies the Code of Ethics to a host of relevant situations,Code of Conduct
141,It behaves like the Constitution with general principles to guide behaviour; outlining a set of principles that affect decision-making,Code of Ethics
142,It can cause harm by failing to uphold standards of accuracy,misrepresentations
143,It comes from an enforceable part of the moral code that differs with each society and culture.,conventional law
144,It demands honesty and candor which must not be subordinated to personal gain and advantage.,Integrity
145,"It describes the goal that organizations aspire to achieve in their efforts to ensure that they are aware of and take steps to comply with relevant laws, policies, and regulations",Regulatory Compliance
146,"It describes the ways that people come to understand societal norms and expectations, to accept society's beliefs, and to be aware of societal values.",True
147,"It enables an individual to capture life's best moments with thier phone’s camera or any other camera, and convert them into works of art",instagram
148,"It goes beyond doing precisely as your expected, and it's more than having a smile on your face when the customer is looking.",Customer Service
149,"It has been linked to depression, self-injurious behaviors, sleep disturbances, increased alcohol and tobacco use, and obesity",internet addiction
150,"It includes sexual harassment and sexual violence, which is included as part of sexual harassment.",Sexual Misconduct
151,"It includes sexual harassment and sexual violence, which is included as part of sexual harassment.",Sexual Misconduct
152,"It includes the integrity, confidentiality, and availability of information at the servers",information security
153,It involve dual relationships; one person in a position in one relationship and a relationship in another situation,Conflict of Interest
154,It involves the indirect gathering of personal information through an analysis of implicit patterns discoverable in data.,Data Mining
155,It is a cornerstone of achieving success in the business world that will serve you well throughout your career.,Creating partnership
156,"It is a cultural difference where some cultures view conflict as a positive thing, whilst others try to avoid it.  For example, many Eastern countries deal with their conflict quietly.",Different attitude towards conflict
157,"It is a cultural difference where some cultures view conflict as a positive thing, whilst others try to avoid it.  For example, many Eastern countries deal with their conflict quietly.",Different attitude towards conflict
158,"It is a cultural difference where some cultures view conflict as a positive thing, whilst others try to avoid it.  For example, many Eastern countries deal with their conflict quietly.",Different attitude towards conflict
159,"It is a disciplined group of individuals who adhere to ethical standards and who hold themselves out as, and are accepted by the public as possessing special knowledge and skills in a widely recognized body of learning derived from research, education and training at a high level.",Profession
160,It is a form of monetary benefit given to every rank-and-file employee payable before the end of every year as stipulated by the Department of Labor and Employment (DOLE).,13th Month Pay
161,"It is a gender related issue where at least 200 million women and girls alive today have undergone female genital mutilation. In most of these cases, the majority of girls were cut before age five.",Female Genital Mutilation
162,It is a gender related issue where there are approximately 774 million illiterate adults in the world and two-thirds of them are women.,Illiteracy
163,It is a human cognitive process of looking for ways to generate or affirm a proposition,reasoning
164,"It is a major cause of poverty considering how it affects the poor the most, eroding political and economic development, democracy and more.",Corruption
165,It is a mediation of interaction through an electronic medium between humans and humans as well as between humans and machines,virtualization
166,It is a messaging social platform that enables a user to chat with friends by using pictures,snapchat
167,It is a principle that can be found at the core of contemporary ethics codes,Self-regulating communities of professionals
168,"It is a right to distribute, display, perform, or reproduce an original work in copies or to prepare derivative works based on the work",copyright
169,It is a situation in which someone in a position of responsibility in an organization has outside conflicting interests and acts in their own interest rather than the interest of the organization.,Self-Dealing
170,It is a system created by and for human beings usually in public deliberations like a council of elders or representatives in national legislatures.,Conventional Law
171,It is a three dimensional interactive computer generated environment that incorporates a first person perspective,virtual reality
172,It is a type of offense when an individual accesses the whole or part of a computer system without permission or right,illegal access
173,"It is a Website that contains an online personal journal with reflections, comments, and often hyperlinks provided by the writer",blog
174,It is an act of seeking public attention to what is considered an illegal or mismanaged act,whistle-blowing
175,"It is an economic activities offered by one part to another, typically incorporating time based performances to bring about the desired results in the recipients themselves or in objects and other assets for which the purchasers are responsible.",Services
176,"It is an employee's behaviour, which is serious enough to potentially destroys the relationship between an employer and employee.",Gross Misconduct
177,It is an international issue where more than 72 million children throughout the globe that are of the age to be in primary education are not enrolled in school.,Lack of Education
178,It is an international issue where there are 795 million people who do not have enough to eat.,Malnourishment and Hunger
179,It is an interpretation is done based on a system that uses a process of argumentation consisting of a mixture of inductions and deductions,Ethical theories
180,"It is an invasion of privacy by wrongful entry, seizing, or acquiring possession of the property of others",intrusion
181,"It is an unethical or unprofessional behaviour that falls short of the ethical or professional standards, guides or codes of conduct, accepted by a particular profession.",Professional Misconduct
182,It is an unwritten law that holds our rights of self-preservation,natural law
183,It is any condition or behavior that has negative consequences for large numbers of people and that is generally recognized as a condition or behavior that needs to be addressed.,Social Issues
184,It is any condition or behavior that has negative consequences for large numbers of people and that is generally recognized as a condition or behavior that needs to be addressed.,Social Issues
185,It is developed over a period of time based on either the religion or culture of the indigenous people in the area.,Community Code
186,"It is difficult for some employees to voice, but these opinions are a vital part of improving quality.",Constructive Feedback
187,"It is earned by employees while they work. The three common types of paid time off are holidays, sick leave, and vacation leave.",Paid Time Off
188,It is hardware or software used to isolate the sensitive portions of an information system facility from the outside world and limit the potential damage that can be done by a malicious intruder,fireworks
189,"It is in a format only readable by specific equipment (ie, microfilm reader, computers), procedures for accessing/obtaining the equipment must be arranged",Vital Records
190,It is is used to specify the technologies which must be used for a specific task and guidelines are only suggestions and are not mandatory.,Standards and Guidelines
191,"It is one of the most difficult global issues to combat, as the umbrella term refers to ocean litter, pesticides and fertilizers, air, light and noise.",Pollution
192,It is one of the most powerful and persuasive approaches to normative ethics in the history of philosophy.,Utilitarianism
193,"It is simply, what you believe about the educational process, and how you plan to approach your classroom/students given what you believe.",Philosophical Framework
194,It is sometimes referred to as a Value Statement.,Codes of Ethics
195,It is sometimes referred to as a Value Statement.,Codes of Ethics
196,"It is the ability of an individual or group to seclude themselves, or information about themselves, and thereby express themselves selectively.",Privacy
197,"It is the ability of an individual or group to seclude themselves, or information about themselves, and thereby express themselves selectively.",Privacy
198,"It is the acquisition of a domain name on the Internet in bad faith or with the intent to profit, mislead, destroy one’s reputation or deprive others from registering the same domain name",Cybersquatting
199,It is the application of data mining techniques to discover patterns from the Web,web mining
200,It is the belief that all moral rules are relative to the society that creates them.,Ethical Relativism
201,It is the core of human dignity and autonomy,privacy
202,It is the data left behind by users of electronic media,digital footprint
203,It is the desire to do the right thing regardless of the cost,Commitment
204,It is the discipline dealing with what is good and bad and with moral duty and obligation,Ethics
205,"It is the harassment, torment, humiliation, or threatening of one minor by another minor or group of minors via the Internet or cell phone",Cyberbullying
206,It is the most common variety of relativism.,Ethical Relativism
207,It is the position that all points of view are equally valid and the individual determines what is true and relative for them.,Relativism
208,It is threatening behavior or unwanted advances directed at an adult using the Internet or other forms of online and electronic communications,Cyberstalking
209,"It is unreasonable, because it claims that there is no absolute truth yet people still act as if there is.",Ethical Relativism
210,It is when an action is right if the consequences of that action are favorable to all except the actor,Altruism
211,It is when ethical reasoning remained the same even with the evolution of ethical discipline.,Emotivism
212,It is when laws are used to resolve interpersonal conflicts in a society.,Conflict Resolution
213,It is written to guide behavior.,Codes of Ethics
214,It is written to guide behavior.,Codes of Ethics
215,"It mandates the fixing of the minimum wages applicable to different industrial sectors, namely, non-agriculture, agriculture plantation, and non-plantation, cottage/handicraft, and retail/service, depending on the number of workers or capitalization or annual gross sales in some sectors.",RA 6727
216,"It may arise whenever there are cultural differences. It happens when you work with people from culturally diverse backgrounds,",Cross-cultural misunderstanding
217,It may arise whenever there are cultural differences. It happens when you work with people from culturally diverse backgrounds.,Cross-cultural misunderstanding
218,"It means conforming to a rule, such as a specification, policy, standard or law",Compliance
219,It means ensuring that information is accessible only to those authorized to have access.,Confidentiality
220,It means ensuring that information is accessible only to those authorized to have access.,Confidentiality
221,"It might take the form of law, or regulation, or the set of all the laws and regulations that govern a particular issue or problem.",Policy
222,"It might take the form of law, or regulation, or the set of all the laws and regulations that govern a particular issue or problem.",Policy
223,It occurs when a corporation or person becomes unreliable because of a clash between personal and professional affairs.,Conflict of Interest
224,It plays a vital role during the length of time that an official position is occupied and it has to do a lot in return for it.,Integrity
225,It protects your family in case you die. Benefits are paid all at once to the beneficiaries of the policy - usually a spouse or children.,Life Insurance
226,"It refers to personal information shared with an attorney, physician, therapist, or other individual that generally cannot be divulged to third parties without the express consent of the client",Confidentiality
227,"It refers to personal information shared with an attorney, physician, therapist, or other individual that generally cannot be divulged to third parties without the express consent of the client.",Confidentiality
228,"It refers to standards of behavior that tell us how human beings ought to act in the many situations in which they find themselves-as friends, parents, children, citizens, businesspeople, teachers, professionals, and so on.",Ethics
229,"It refers to the freedom from intrusion into one's personal matters, and personal information.",Privacy
230,"It refers to the freedom from intrusion into one's personal matters, and personal information.",Privacy
231,It states that the protection of confidential information is a fundamental feature of your relationship with clients and that the duty continues after the end of the retainer and even after the death of the client.,Chapter 4
232,It states that the protection of confidential information is a fundamental feature of your relationship with clients and that the duty continues after the end of the retainer and even after the death of the client.,Chapter 4
233,It takes part in building character traits in people.,morality
234,It usually refers to the knowledge and skills required to carry out activities.,Competencies
235,It will be important to consider for clinical and non-clinical situations. Understanding the constraints and parameters within which decisions are being made will contribute to a well-rounded process.,Context
236,It's also important to note that suspension should not be seen as a sanction.,True
237,Its goal is to create a buzz about a product or idea that spreads wide and fast,viral marketing
238,Kantian  is a philosophical view or theory about how we should evaluate a wide range of things that involve choices that people face.,False
239,Legal acts conform to what an individual believes to be the right thing to do.,False
240,Licensees shall not agree to requests by participants in a parenting plan evaluation that information shared with the licensee be concealed.,True
241,"Licensees shall obtain written __________ from the parents who are participating in the evaluation, encompassing all disclosures of information to other persons, including other participants in the evaluation, attorneys, and the court",Waivers of Confidentiality
242,List the options that are most acceptable to the individual or group that is most responsible for implementing the action plan,True
243,Listening in to other people's conversations is an example of what privacy violation?,Interception of Information
244,Long-term success to ending world hunger starts with ending _______________.,Poverty
245,Maintaining the status quo by preventing the unauthorized modification of files is an example of,integrity
246,"Many of the principles expressed by these codes, such as honesty and accuracy, apply to ethical professionals broadly.",True
247,Match the following words to the given choices,Match the following words to the given choices
248,Medical insurance alone can cost several hundred dollars a month That's why it's important to consider benefits as part of your total compensation,True
249,"Men who have experienced sexual or physical abuse at the hands of their partners are twice as likely to have an abortion, almost twice as likely to have depression and, in some regions, 1.5 times more likely to acquire HIV compared with women who have not experienced partner violence.",False
250,"Merriam-Webster defines professionalism as ""the skill, good judgment and polite behavior that is expected from a person who is trained to do a job well.""",True
251,Morality is enforced by the authority that enacted them and security forces,False
252,More than __________ children throughout the globe that are of the age to be in primary education are not enrolled in school.,72 Million
253,More than __________ children throughout the globe that are of the age to be in primary education are not enrolled in school.,72 Million
254,"No code, no matter how severely enforced will make truly bad people good.",True
255,No Identity,Anonymity
256,"No matter what option is being discussed, any viable solution to an ethical situation will need to reflect the values of all parties involved.",True
257,"No matter what the situation or the position is, an employee who attends and leaves the office late must be appreciated on the grounds that he has an attractive and useful quality which in turn brings good results",False
258,"Normally information should be limited to those who need to know in order to conduct their duties, or to those who can assist in carrying out our work because of their expertise.",True
259,"Now that you've considered the dilemma and your own position on it, think about the question a little further. What is the nature of the conflict and the problem that needs to be solved? Ethical dilemmas are often framed using the word ""should"".",Clarify the questions
260,"Once the decision is made, communicated and implemented, it is not important to review it so you can hopefully sleep more easily, knowing you made the best possible choice",False
261,One benefit of duplication is the minimal chance that the primary copy and all distributed copies will be destroyed.,True
262,One is not known by any name including pseudo names,anonymity
263,One of the advantages of anonymity is that disputes could be solved if information from individuals’ party to these disputes can reveal the necessary information,False
264,One of the contributing factors in the cause of violations is when consumers lack the ethics of how what they consider a little bit of information can turn into a big invasion of privacy,False
265,One of the contributing factors in the cause of violations is when consumers lack the knowledge of how what they consider a little bit of information can turn into a big invasion of privacy,True
266,One of the most important elements of confidentiality is that it helps to build and develop __________________,Trust
267,"One of the most important things to do at the beginning of ethical deliberation is to locate, to the extent possible, the specifically ethical aspects of the issue at hand.",Recognizing an ethical issue
268,"One of the most important things to do at the beginning of ethical deliberation is to locate, to the extent possible, the specifically ethical aspects of the issue at hand.",Recognizing an ethical issue
269,One relativist slogan is no moral principles are true for all people at all times and in all places.,True
270,"Only one class of people or those who are rich, partake in substance abuse, and it is a persistent issue throughout the world.",False
271,Our actions have consequences on others in our society and on the environment in which we live.,True
272,"Pab-IBIG provides housing loans, calamity loans, and multi-purpose loans to employees in the Philippines. The repayment is covered by both the employer and employee and the employees share is deducted from his or her salary.",True
273,Part of good judgment is also not overreacting or reacting emotionally in highly tense situations.,True
274,Penetration can be done with or without the use of the internet,True
275,Personal emotions behind actions also do not matter within Kantian deontology because Kant believed humans do not always have rational control over their emotions.,True
276,"Personal responsibility refers to a person's individual obligations to herself, family, friends, community and coworkers.",True
277,Policy is made on behalf of the ______________.,Public
278,Politicians and attorneys take the Hippocratic Oath to provide the best medical care to their patients and to protect human life.,False
279,Preventing of unauthorized disclosure of information,Confidentiality
280,Professional Codes of Conduct addresses the following except:,Confidentiality and Commitment
281,Professional persons in different fields (including those working in the public schools) have legal and ethical responsibilities to safeguard the confidentiality of information regarding the clients in their care.,True
282,Professionals habitually work directly with their clients rather than through intermediaries or proxies.,Direct working relationship
283,Professionals habitually work directly with their clients rather than through intermediaries or proxies.,Direct working relationship
284,Providing responses and solutions quickly is the speed at with which your customer service operates plays a huge part in creating an amazing experience.,True
285,Public policy problems are those that must not be addressed by laws and regulations adopted by government.,False
286,reckless alteration,Data Interference
287,reckless hindering,System Interference
288,reclusion and isolation,Psychological Effects
289,Relationships that enable trust and bring exceptional results don't happen unless there's a conscious intention to make them happen.,True
290,"Relativism theorizes that truth is different for different people, not simply that different people believe different things to be true.",True
291,Relying on an individual's or a society's personal choices is analogous to using our sense of touch to determine the extent of a child's fever.,False
292,"Reportable conduct does not mean any sexual offence or sexual misconduct committed against, with or in the presence of a child, including child pornography offences, or any assault, ill-treatment or neglect of a child, or any behaviour that causes psychological harm to a child.",False
293,Republic Act No 8293 is also known as the __________,intellectual property code of the Philippines
294,Resourcefulness is the ability to find solutions where there are no easy answers and deal with problems when you don't have all the information or tools available to you,True
295,Respect for client confidentiality and staff personal information should be a low priority for all community services to comply with legislation that governs disclosure of information.,False
296,Rules that guides individual actions such as not taking the possessions of others are called,directives
297,Scholars and those involved in human research have legal and ethical obligations to protect the privacy of persons who agree to participate in clinical studies and other research projects.,True
298,Secret-key Encryption,Symmetric encryption
299,"Sensors, Security Lighting and Natural Trees",Physical Security Barriers
300,Serious proper use of an organization's property or name is considered gross misconduct,False
301,"Services have 3 major properties; Intangibility, Inseparability, and Perishability",False
302,"Seven days leave with pay for every year of service, on top of other leave privileges, e.g. maternity or paternity leave.",SPL
303,shapes and colors,Trademark
304,Shapes cannot be registered as trademarks if the shapes are not necessitated by technical factors,True
305,Showing an act of kindness in exchange to an equal act of kindness is an example what culturefree moral codes?,the bronze rule
306,"Since morality is culturally based, individuals are bound to live within the guidelines the society lives with",True
307,Socialization is the process through which people are taught to be proficient members of a society.,True
308,"Some issues become considered a personal problem only if citizens, policymakers, or other parties call attention to the condition or behavior",False
309,"Sometimes, it's prudent to not voice an opinion, depending on the leader, the venue and the other people present.",Staying Silent
310,"Staff, clients/patients/residents and families will never bring their own personal values to a discussion.",False
311,Stalking is a course of conduct directed at a specific person that would cause a reasonable person to fear for the person's safety or the safety of others or to suffer substantial emotional distress.,Stalking
312,Stalking is a course of conduct directed at a specific person that would cause a reasonable person to fear for the person's safety or the safety of others or to suffer substantial emotional distress.,Stalking
313,Teological is a form of ____________________.,Consequentialism
314,Teological is a form of ____________________.,Consequentialism
315,Teological's goodness or badness is determined by the results or outcomes,True
316,"The 13th month pay covers only the basic salary of the employee, which does include allowances and monetary benefits that are not considered or integrated as part of the employee's regular compensation.",False
317,The alteration of information may be caused by the disclosure of personal information,False
318,The Code does not attempt to provide a detailed and exhaustive list of what to do in every aspect of our work instead it represents a broad framework that will help all employees decide on an appropriate course of action when faced with an ethical issue or professional decisions.,True
319,The danger with information matching is that everyone knows who will use the built profiles from the matched information and where it will be used,False
320,The danger with information matching is that no one knows who will use the built profiles from the matched information and where it will be used,True
321,The data that the AI technology is using to train and learn mostly coveres all the aspect of human behavior,False
322,The decision-making process is developed that individuals tend to execute automatically without thinking about the steps that go through. The step that involves others in brainstorming is __________.,Identify Alternatives
