Question,Answer
"Usually, related studies is about reviewing or studying existing works carried out in your project/research field. candidate's related works is important constraint since pave path to entire research process. Related studies can be taken from journals, magazines, website links, government reports and other source.",True
This is a presentation of the thesis summary,ABSTRACT
"__ sources, are reports of a person who relates the testimony of an actual witness or participant.",secondary
Open-ended questions,do not give options that the respondent must choose.
These sections recognize persons and organizations who/which assisted the proponents in the completion of the thesis.,DEDICATIONS AND ACKNOWLEDGEMENTS
"proponent is a person who advocates a theory, proposal, or project.",True
"A well-written introduction is important because, quite simply, you never get a second chance to make a good first impression.",True
Categories of notes are: Summary,condensed form of the contents
"In order for field research to be successful, the researcher must be _________________________.",creative
Project Context is circumstances in which an event occurs. It is the description of the internal and external environment where the project is going to be undertaken and the effect of the environment on the project. ... The project context is also useful to develop appropriate strategies for dealing with the SWOT analysis.,True
Only upon successful completion of Thesis A (or NFE mark has been removed) will the student be allowed to enroll in Thesis B.,Agree
"All of the following are characteristics of research, EXCEPT:",Research not requires expertise.
Scope and Limitation section sets __ of the study.,PARAMETERS
Select the following questions that will be answered if you have good introduction in your research. Select whichever applies.,What did we know about this research before I did this study?
Research is ______________.,Working in a scientific way to search for truth of any problem
The space between lines of type.,LEADING
"The Capstone Project should be in the form of a systems application or an enterprise resource plan. It has a total of __ units, divided into Capstone Project 1 and Capstone Project 2.",3
Qualitative Research is used to quantify the problem by way of generating numerical data or data that can be transformed into usable statistics.,False
"A sequential listing of all major parts of a thesis with corresponding page numbers. Included in the table of contents are the titles of chapters, sections and subsections, bibliography and appendices.",TABLE OF CONTENTS
Is a questionnaire asked in a one-on-one situation.,Interview Method
Basic/ Fundamental /pure or Theoretical Research: Its utility is universal.,True
For example: What are the components of intelligence?,To describe
Used to assess the degree to which different raters/observers give consistent estimates of the same phenomenon.,Inter-Rater Reliability
"Synthesis means to combine a number of different pieces into a whole. Synthesis is about concisely summarizing and linking different sources in order to review the literature on a topic, make recommendations, and connect your practice to the research.",True
"A symbol added to a letter that affects its pronunciation, such as the various accents in foreign words.",DIACRITIC
"Research Literature pertains to articles and books written by authorities giving their opinions, experiences, theories or ideas.",False
"Prototype is an early sample, model, or release of a product built to test a concept or process. · A prototype can also mean a typical example of something.",True
Introduction is composed of __ paragraphs with three to five pages.,NARRATIVE
AMAES upholds academic __ at all times.,HONESTY AND INTEGRITY
School year 1989-1990.,Period of the study
Doing work for another student.,collusion
Capstone Editing's guarantee to our clients that they will be satisfied with the quality of our work.,Quality Guarantee
"Tables should be numbered in sequence, using Roman numerals.",False
"Change of thesis topic and group members will not be allowed once the thesis proposal was submitted, defended and approved.",True
is as a works cited or reference list.,bibliography
"The significance of the study is a written statement that explains why your research was needed. It's a justification of the importance of your work and impact it has on your research field, it's contribution to new knowledge and how others will benefit from it.",True
Software design is the process by which an agent creates a specification of a software artifact intended to accomplish goals.,True
this section summarizes what is to be achieved by the study.,objectives of the study
"For format on the writing of references, research papers in IT, Computer Science, and Engineering must use the __ citation and referencing style.",IEEE
Categories of notes are: Quotations,exact words of the author are reproduced
A __ is as a work cited or reference list. It is a list of the sources that were used in the research paper.,BIBLIOGRAPHY
"During examination, copying from another student's examination paper, facilitating other students' copying and allowing other students to copy from one's own paper.",cheating
"All the following are definitions of research, EXCEPT:",Research is considered to be the more informal process of carrying on the scientific method of analysis.
"Project constraints are limiting factors for your project that can impact quality, delivery, and overall project success.",True
The __ sources are compiled from or based on secondary sources.,tertiary
"A vague, disorganized, or error-filled introduction will create a positive impression.",False
"Students from the same college may form a group of at most three (3) members to conduct one specific thesis, research or design project.",True
"Requirements analysis, also called requirements engineering, is the process of determining user expectations for a new or modified product.",True
Objectives of the Study: This section summarizes what is to be __ by the study.,ACHIEVED
"An implementation plan is a project management tool that facilitates the execution of a strategic plan for a company or a project by breaking down the implementation process into smaller steps, while defining the timeline, the teams and the resources that will be needed.",True
"In Scope and Limitation, it answers the questions: where",place where conducted or area covered
Research__ are closely related to research problem.,OBJECTIVES
"pertains to articles and books written by authorities giving their opinions, experiences, theories or ideas.",Conceptual Literature
Is a self-report data collection instrument.,Questionnaire
This part provides a brief background or the rationale of the study.,INTRODUCTION
This refers to the the fraudulent or dishonest presentation of work or presentation of others' work as one's own.,CHEATING
The introduction is the second chapter of the thesis and must include the objective/s and justification of the study as well as the limitations set by the proponent.,False
If the test contains all of the pertinent components of the variable it wants to measure,Content validity
It deals with unusual events. It may be qualitative as well as quantitative in nature depending upon the content.,Case-Study Research
"Submitting or presenting assignments, take home exams or any work written, prepared or completed in full or in part by someone else.",cheating
"Conceptual design is an early phase of the design process, in which the broad outlines of function and form of something are articulated.",True
Examples of this category are Experimental and Survey Research.,Cross-Sectional Research
showcases previous studies and publications relevant to the thesis.,review of related literature
"A system architecture is the conceptual model that defines the structure, behavior, and more views of a system",True
Is used to prove causality.,Experiment Method
"All the following are examples of longitudinal research, EXCEPT:",Survey Research
The capstone project shall provide the students with an experience that brings together the technical knowledge that they have acquired on "real-life" projects or application.,True
Introduction provides a brief background or the rationale of the study.,True
Introduction provides a brief background or the __ of the study.,RATIONALE
